track_name,artist_names,track_duration,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Runway Walk (Bonus) (feat. Brevi),Demrick,190774,Deep Underground Hip Hop,0.755,0.668,7,-9.23,1,0.214,0.0168,0.0,0.211,0.536,92.983
Genie In a Bottle,Christina Aguilera,217573,Dance Pop,0.633,0.8,1,-6.945,1,0.166,0.209,0.000123,0.137,0.913,175.716
Applause,Lady Gaga,212333,Dance Pop,0.668,0.78,7,-4.287,0,0.053,0.0265,1.63E-06,0.143,0.738,139.945
Oops!...I Did It Again,Britney Spears,211160,Dance Pop,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77E-05,0.355,0.894,95.053
Ms. Jackson,Outkast,270506,Hip Hop,0.843,0.806,4,-5.946,0,0.269,0.143,0.0,0.0771,0.613,94.948
Mr. Saxobeat - Extended Version,Alexandra Stan,256635,Romanian Pop,0.791,0.885,4,-5.271,0,0.0748,0.00337,0.00474,0.329,0.93,126.985
Tell Ur Girlfriend,Lay Bankz,124444,Jersey Club,0.866,0.741,7,-4.66,1,0.245,0.0933,0.0,0.0297,0.614,135.07
Undercover Martyn,Two Door Cinema Club,167773,Indie Rock,0.454,0.873,2,-5.072,1,0.122,0.000244,1.73E-05,0.0847,0.562,159.814
Remember When,Wallows,155146,Pov: Indie,0.504,0.708,11,-5.896,0,0.0343,0.00112,0.000424,0.788,0.51,82.009
Me and My Husband,Mitski,137141,Pop: Indie,0.497,0.638,1,-5.31,1,0.0274,0.0467,0.0,0.385,0.77,172.01
Licky (Work It Out) - Hervé UK Radio Edit,"Larry Tee, Princess Superstar",175786,Electroclash,0.837,0.82,7,-4.077,1,0.359,0.0128,8.53E-06,0.263,0.731,126.015
Soaked,Shy Smith,179449,Krushclub,0.9,0.67,1,-7.49,1,0.079,0.0533,0.0,0.0629,0.84,109.001
Francis Forever,Mitski,149680,Brooklyn Indie,0.535,0.448,2,-9.167,1,0.0279,0.00262,1.94E-05,0.115,0.32,101.986
Slide (feat. Frank Ocean & Migos),"Calvin Harris, Frank Ocean, Migos, Funk Wav",230813,Dance Pop,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21E-06,0.254,0.511,104.066
Sugar Rush,BIBI,148729,Korean R&B,0.874,0.589,8,-6.429,1,0.247,0.133,6.79E-06,0.142,0.635,109.963
Jai Ho! (You Are My Destiny),"A.R. Rahman, The Pussycat Dolls, Nicole Scherzinger",222400,Dance Pop,0.657,0.941,8,-3.919,0,0.061,0.0476,0.0,0.0797,0.879,136.202
"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)","Tyler ICU, Tumelo_za, DJ Maphorisa, Nandipha808, Ceeka RSA, Tyrone Dee",391888,Barcadi,0.842,0.504,1,-7.557,1,0.0534,0.0246,0.0139,0.0698,0.495,112.995
Buffalo Replaced,Mitski,160293,Brooklyn Indie,0.462,0.336,2,-14.606,1,0.0285,0.689,0.765,0.101,0.123,69.014
My Love Mine All Mine,Mitski,137773,Brooklyn Indie,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95
Geyser,Mitski,143570,Brooklyn Indie,0.0996,0.609,7,-4.913,1,0.0421,0.00248,0.0,0.0841,0.128,48.717
The Deal,Mitski,232200,Brooklyn Indie,0.137,0.291,1,-14.768,0,0.0423,0.497,1.09E-05,0.122,0.229,77.322
Working for the Knife,Mitski,158617,Brooklyn Indie,0.466,0.63,11,-8.115,1,0.0273,0.167,5.32E-05,0.103,0.329,82.988
Art Deco,Lana Del Rey,295066,Pop,0.282,0.464,11,-11.112,0,0.0533,0.544,0.215,0.111,0.0596,148.345
Feels Like We Only Go Backwards,Tame Impala,192960,Modern Rock,0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508
RICK OWENS (feat. Ken Carson),"Ufo361, lucidbeatz, Ken Carson",130136,Rage Rap,0.613,0.618,1,-8.993,1,0.179,0.064,0.0276,0.125,0.55,148.049
Tell Em,"Cochise, $NOT",180379,Rage Rap,0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905
Like the Sun,Tanukichan,169133,Oakland Indie,0.474,0.687,3,-8.122,1,0.0281,0.00191,0.885,0.0833,0.223,146.025
Collide (feat. Tyga),"Justine Skye, Tyga",260169,Pop R&B,0.418,0.31,11,-9.869,0,0.0625,0.095,0.0,0.216,0.131,139.614
Rich Girl,"Gwen Stefani, Eve",236213,Dance Pop,0.856,0.746,7,-2.728,0,0.042,0.0292,1.53E-05,0.206,0.761,98.018
You Make Me Feel... (feat. Sabi),"Cobra Starship, Sabi",215693,Neon Pop Punk,0.668,0.857,7,-2.944,0,0.0535,0.0191,6.71E-06,0.0385,0.748,131.959
I Ain’t Quite Where I Think I Am,Arctic Monkeys,191173,Garage Rock,0.544,0.337,10,-9.846,1,0.0653,0.357,6.34E-05,0.085,0.667,192.685
Can't Get You out of My Head,Kylie Minogue,230640,Dance Pop,0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007
ALL MINE,Brent Faiyaz,216062,R&B,0.617,0.378,9,-8.54,1,0.0315,0.428,9.16E-05,0.11,0.22,141.967
Rolling in the Deep,Adele,228093,Uk Pop,0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948
Sour Grapes,LE SSERAFIM,196540,K-Pop,0.779,0.801,6,-5.564,0,0.0457,0.395,0.0,0.108,0.72,139.998
SLUT ME OUT,NLE Choppa,123672,Rap,0.938,0.606,6,-6.396,0,0.419,0.117,0.0,0.528,0.706,121.108
Kiss Kiss - Wise Buddah Mix,Holly Valance,206600,Australian Pop,0.71,0.753,4,-3.679,0,0.122,0.00356,0.544,0.0516,0.548,97.029
I don't give a,MEMI,210904,K-Rock,0.754,0.71,6,-6.03,0,0.0796,1.47E-05,0.464,0.1,0.84,119.999
NY(f)C,MEMI,140152,K-Rock,0.534,0.932,2,-5.49,1,0.0557,0.000256,0.807,0.517,0.394,131.038
Sorry for my late reply,MEMI,211946,K-Rock,0.391,0.883,0,-4.96,0,0.0578,0.000119,0.000978,0.286,0.467,165.974
Iris,The Goo Goo Dolls,289533,Neo Mellow,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97E-06,0.0942,0.497,155.925
Kiss It Better,Rihanna,253080,Pop,0.616,0.806,3,-4.8,0,0.0488,0.272,0.0,0.0672,0.876,95.028
Candy,Doja Cat,190920,Dance Pop,0.689,0.516,8,-5.857,1,0.0444,0.513,0.0,0.163,0.209,124.876
Revenge,(G)I-DLE,144053,K-Pop,0.648,0.822,6,-3.549,0,0.0595,0.0261,2.18E-06,0.207,0.475,104.259
Super Lady,(G)I-DLE,152186,K-Pop,0.795,0.869,4,-4.456,0,0.116,0.0927,0.0,0.109,0.525,121.941
Wife,(G)I-DLE,121226,K-Pop,0.899,0.823,11,-5.002,0,0.114,0.0264,0.00222,0.342,0.625,123.983
ALL AROUND THE WORLD (BONUS TRACK),MISS LUXURY,148800,Bubblegum Bass,0.404,0.927,9,-5.457,0,0.0404,0.126,0.0,0.185,0.696,149.75
TIPSY,MISS LUXURY,232615,Bubblegum Bass,0.641,0.941,6,-5.696,1,0.0806,0.086,0.0,0.703,0.724,129.985
